scene_id,im_id,obj_id,score,R,t,time
000000,000000,obj_000018,0.49366424733729086,-1.026634 0.293408 0.073422 -0.035750 0.140271 -1.060425 -0.300335 -1.019653 -0.124753,112.564004 7.477434 -29.151745,4.627563714981079
000000,000000,obj_000018,0.6667717472852122,-1.923980 5.766210 3.626783 -1.422176 3.345602 -6.073614 -6.661842 -2.379538 0.249164,425.229169 -10.509351 -632.330680,4.627563714981079
000000,000000,obj_000018,0.7100508819973368,6.521043 2.703531 -0.188696 -0.566354 0.878617 -6.983979 -2.650270 6.464336 1.028163,424.839278 14.219716 -627.445699,4.627563714981079
000000,000000,obj_000018,0.6464969936224217,6.762326 -1.580554 -3.716823 -3.974248 -1.311923 -6.672794 0.719914 7.604122 -1.923803,419.363314 -9.602863 -641.966462,4.627563714981079
000000,000000,obj_000018,0.46681370559671614,0.257291 4.000667 0.509162 -0.036457 -0.507869 4.008930 4.032773 -0.259834 0.003757,-579.606874 3.595835 78.888199,4.627563714981079
000000,000000,obj_000018,0.5087695159197649,-1.609972 1.141565 -2.103398 1.891456 -0.946192 -1.961270 -1.466236 -2.474069 -0.220458,-514.376608 2.506870 -6.177046,4.627563714981079
000000,000001,obj_000018,0.5304557784378304,2.222925 -0.280054 -0.323518 0.365369 0.351477 2.206232 -0.222710 -2.218676 0.390342,-630.246624 10.100536 -120.540187,3.140531539916992
000000,000001,obj_000018,0.47282950148039593,-0.296439 -1.020309 0.210001 -0.193655 -0.160554 -1.053436 1.023537 -0.325881 -0.138491,56.802644 11.796108 -40.853079,3.140531539916992
000000,000001,obj_000018,0.7139191115651461,5.643744 1.626347 -3.185851 -3.362032 0.380044 -5.761841 -1.221225 6.469703 1.139318,-372.256560 3.401924 9.262553,3.140531539916992
000000,000001,obj_000018,0.7627403337798178,4.093269 -3.479686 -5.386138 5.760576 4.802396 1.275266 2.816817 -4.764696 5.218885,417.205003 1.416086 -626.810838,3.140531539916992
000000,000001,obj_000018,0.4848681559927104,-0.054215 1.058429 -0.136177 -0.213289 -0.144349 -1.037027 -1.045621 -0.025435 0.218597,33.493354 7.799730 -12.627601,3.140531539916992
000000,000002,obj_000018,0.4820202493346625,-0.646881 -0.814451 0.231551 -0.302142 -0.050177 -1.020585 0.790984 -0.685240 -0.200479,48.474025 10.003884 -3.948965,3.3138773441314697
000000,000002,obj_000018,0.47523606191860435,-1.174040 -0.162716 0.352104 0.350080 0.038809 1.185227 -0.167026 1.225088 0.009220,165.067221 9.162513 50.535000,3.3138773441314697
000000,000002,obj_000018,0.4878922339451113,-0.612920 0.891323 0.121177 0.295190 0.060792 1.045934 0.849708 0.621819 -0.275951,126.144869 10.307272 48.231310,3.3138773441314697
000000,000002,obj_000018,0.6844525653563763,-6.986295 0.928928 1.986059 -2.037880 -0.303994 -7.026400 -0.808938 -7.256744 0.548578,426.845685 7.355951 -633.038400,3.3138773441314697
000000,000002,obj_000018,0.7090425835923252,-0.097857 -7.175027 0.560940 1.935557 0.514085 6.913362 -6.931759 0.244839 1.922501,-366.920147 8.371122 -5.264836,3.3138773441314697
000000,000002,obj_000008,0.6844558457981108,-8.021966 17.257910 -5.715844 5.304206 8.197565 17.306750 17.388839 5.461019 -7.916047,836.975004 203.557116 -419.359049,3.3138773441314697
000000,000003,obj_000018,0.6762381921098649,-6.121213 -1.027838 0.671263 0.871382 -1.233251 6.057729 -0.864719 6.033153 1.352634,430.099445 13.396087 -643.772634,3.143479824066162
000000,000003,obj_000018,0.7561005001388651,7.031732 -1.247611 -2.274874 1.355468 -3.837055 6.294169 -2.212305 -6.316433 -3.374201,-841.411209 7.555118 8.598827,3.143479824066162
000000,000003,obj_000018,0.6769165197365637,-3.458607 -5.355390 -0.513914 1.122368 -1.315736 6.157548 -5.261616 3.239584 1.651292,449.556428 8.848840 -638.984021,3.143479824066162
