scene_id,im_id,obj_id,score,R,t,time
000000,000000,18,0.6500658,-0.9630704255833566 -0.031406648711249104 -0.26741106885286325 0.2584720671689271 0.17033521698273613 -0.9508826607513511 0.07541362297726 -0.984885457589919 -0.15592731918483335,-99.23857580922494 204.36819166635732 1820.1412033276977,30.753662824630737
000000,000000,18,0.72329146,-0.3436643194354861 -0.10592426328420261 -0.9330996653404063 0.9266688904883505 0.12283917104828813 -0.35524045513558006 0.15224980932892945 -0.9867576334319768 0.05594123197824888,-164.78185566123815 37.264563968318214 1802.4362944042707,30.753662824630737
000000,000000,18,0.5277042,0.5008975990245631 0.5767251463314167 -0.6453599634765609 0.7957514253201948 -0.013599355353087029 0.6054710568543081 0.3404137499172406 -0.8168251136887561 -0.4657415304689522,-267.25295033666316 -240.32211959603822 1781.7683069998905,30.753662824630737
000000,000000,18,0.7144633,0.02135578209198725 -0.03212200947685365 0.999255687395935 -0.9917850546585361 0.1254046010115619 0.02522736820458949 -0.1261216605129813 -0.9915854523868185 -0.029180026114511995,-7.128390680713807 126.30426853741494 1802.09059066335,30.753662824630737
000000,000000,18,0.61318296,0.6017686825229855 -0.4065366575750666 -0.6874609569668709 0.7161535295508902 -0.106372112671732 0.6897892392118393 -0.35355152225871744 -0.9074210995820345 0.22713110986019058,-218.00600381905076 -43.1445511600759 1823.9933392843707,30.753662824630737
000000,000000,18,0.7862134,-0.5400368054573995 0.6252558332409853 -0.5633962306912977 0.5187067314892841 -0.2799026395964184 -0.8078354026905974 -0.662799874819552 -0.7284983181724763 -0.17316666022992563,-320.85579799703777 15.24665510394462 1750.6682529115942,30.753662824630737
000000,000001,18,0.5440301,0.9819930215473722 0.12933590065245565 0.137702183503549 0.13456031400512086 0.03276775446634171 -0.9903634412146 -0.13260161185864697 0.9910593056558726 0.014774240841352758,-72.27583075750715 -24.39278985194466 1788.2558971306937,27.691020488739014
000000,000001,18,0.67210597,0.7780260636276602 0.08783031568423084 0.6220624582544378 0.6004321593712074 0.18733610595427286 -0.7774230341533241 -0.1848159781095221 0.9783615334347401 0.09301619606851962,-382.6770948664153 -265.04356810347554 1880.0680493181217,27.691020488739014
000000,000001,18,0.7967173,0.06555276319578243 0.40630400748630574 -0.9113832504335927 0.9845487252158752 0.12229073556711609 0.12533377727676737 0.16237756851710153 -0.9055174220618925 -0.39200986494427636,-242.00210763821772 -45.79628902653633 1836.0328485548769,27.691020488739014
000000,000001,18,0.66756636,-0.8582299497651404 -0.14163222719099197 -0.49333728361823037 0.4115340326531447 -0.7642791361328759 -0.4965044731938016 -0.3067265281192935 -0.6291402558111668 0.7142138244010241,-117.25835309293217 110.28648419766819 1745.7970617046715,27.691020488739014
000000,000001,18,0.74360436,-0.8227067320307253 -0.14706160632693543 -0.5491143830284329 0.5630438370009414 -0.07770621350586793 -0.8227655360533183 0.07832757735039432 -0.9860703497036745 0.14673158557664648,-290.22195955282655 -93.91469321780173 1838.4378333793625,27.691020488739014
000000,000001,18,0.6389144,-0.5435642457711363 0.5933428107441037 -0.5937018919539162 0.6059689962418845 -0.21204026733081555 -0.7667072712486322 -0.5808088168932196 -0.7765199895637757 -0.24428969073308596,-388.9045232900547 -10.191356222233551 1793.9894871009963,27.691020488739014
000000,000001,18,0.48555127,0.005115811619522301 0.3489764641894924 -0.9371176631081953 0.014674594051712397 -0.9370550749232082 -0.3488730115968362 -0.9998792659760531 -0.01196703860070879 -0.0099147889612655,-1097.1838441769507 625.0100016016488 1952.3009872966577,27.691020488739014
000000,000002,18,0.6074927,-0.6882040576823609 -0.3852087169400753 -0.6148084794300371 0.6918835742525081 -0.09343586304875949 -0.7159377575404576 0.21834032257640495 -0.918086996032117 0.33082258311068646,-233.91370759372649 -162.00474567883458 1841.6313366820423,23.23700523376465
000000,000002,18,0.68592703,-0.545055122208826 -0.25494950180740805 -0.7986959987394526 0.828759875251495 -0.019789855260964346 -0.5592544774800126 0.1267755575338465 -0.9667518748470104 0.22207842912961395,-128.84676829794736 -39.143398659650074 1810.3507674046323,23.23700523376465
